Line 1: Primary cost check passed. | Solution check: Correct.
Line 2: Primary cost check passed. | Solution check: Correct.
Line 3: Primary cost check passed. | Solution check: Correct.
Line 4: Primary cost check passed. | Solution check: Correct.
Line 5: Primary cost check passed. | Solution check: Correct.
Line 6: Primary cost check passed. | Solution check: Correct.
Line 7: Primary cost check passed. | Solution check: Correct.
Line 8: Primary cost check passed. | Solution check: Correct.
Line 9: Primary cost check passed. | Solution check: Correct.
Line 10: Primary cost check passed. | Solution check: Correct.
Line 11: Primary cost check passed. | Solution check: Correct.
Line 12: Primary cost check passed. | Solution check: Correct.
Line 13: Primary cost check passed. | Solution check: Correct.
Line 14: Primary cost check passed. | Solution check: Correct.
Line 15: Primary cost check passed. | Solution check: Correct.
Line 16: Primary cost check passed. | Solution check: Correct.
Line 17: Primary cost check passed. | Solution check: Correct.
Line 18: Primary cost check passed. | Solution check: Correct.
Line 19: Primary cost check passed. | Solution check: Correct.
Line 20: Primary cost check passed. | Solution check: Correct.
Line 21: Primary cost check passed. | Solution check: Correct.
Line 22: Primary cost check passed. | Solution check: Correct.
Line 23: Primary cost check passed. | Solution check: Correct.
Line 24: Primary cost check passed. | Solution check: Correct.
Line 25: Primary cost check passed. | Solution check: Correct.
Line 26: Primary cost check passed. | Solution check: Correct.
Line 27: Primary cost check passed. | Solution check: Correct.
Line 28: Primary cost check passed. | Solution check: Correct.
Line 29: Primary cost check passed. | Solution check: Correct.
Line 30: Primary cost check passed. | Solution check: Correct.
Line 31: Primary cost check passed. | Solution check: Correct.
Line 32: Primary cost check passed. | Solution check: Correct.
Line 33: Primary cost check passed. | Solution check: Correct.
Line 34: Primary cost check passed. | Solution check: Correct.
Line 35: Primary cost check passed. | Solution check: Correct.
Line 36: Primary cost check passed. | Solution check: Correct.
Line 37: Primary cost check passed. | Solution check: Correct.
Line 38: Primary cost check passed. | Solution check: Correct.
Line 39: Primary cost check passed. | Solution check: Correct.
Line 40: Primary cost check passed. | Solution check: Correct.
Line 41: Primary cost check passed. | Solution check: Correct.
Line 42: Primary cost check passed. | Solution check: Correct.
Line 43: Primary cost check passed. | Solution check: Correct.
Line 44: Primary cost check passed. | Solution check: Correct.
Line 45: Primary cost check passed. | Solution check: Correct.
Line 46: Primary cost check passed. | Solution check: Correct.
Line 47: Primary cost check passed. | Solution check: Correct.
Line 48: Primary cost check passed. | Solution check: Correct.
Line 49: Primary cost check passed. | Solution check: Correct.
Line 50: Primary cost check passed. | Solution check: Correct.
Line 51: Primary cost check passed. | Solution check: Correct.
Line 52: Primary cost check passed. | Solution check: Correct.
Line 53: Primary cost check passed. | Solution check: Correct.
Line 54: Primary cost check passed. | Solution check: Correct.
Line 55: Primary cost check passed. | Solution check: Correct.
Line 56: Primary cost check passed. | Solution check: Correct.
Line 57: Primary cost check passed. | Solution check: Correct.
Line 58: Primary cost check passed. | Solution check: Correct.
Line 59: Primary cost check passed. | Solution check: Correct.
Line 60: Primary cost check passed. | Solution check: Correct.
Line 61: Primary cost check passed. | Solution check: Correct.
Line 62: Primary cost check passed. | Solution check: Correct.
Line 63: Primary cost check passed. | Solution check: Correct.
Line 64: Primary cost check passed. | Solution check: Correct.
Line 65: Primary cost check passed. | Solution check: Correct.
Line 66: Primary cost check passed. | Solution check: Correct.
Line 67: Primary cost check passed. | Solution check: Correct.
Line 68: Primary cost check passed. | Solution check: Correct.
Line 69: Primary cost check passed. | Solution check: Correct.
Line 70: Primary cost check passed. | Solution check: Correct.
Line 71: Primary cost check passed. | Solution check: Correct.
Line 72: Primary cost check passed. | Solution check: Correct.
Line 73: Primary cost check passed. | Solution check: Correct.
Line 74: Primary cost check passed. | Solution check: Correct.
Line 75: Primary cost check passed. | Solution check: Correct.
Line 76: Primary cost check passed. | Solution check: Correct.
Line 77: Primary cost check passed. | Solution check: Correct.
Line 78: Primary cost check passed. | Solution check: Correct.
Line 79: Primary cost check passed. | Solution check: Correct.
Line 80: Primary cost check passed. | Solution check: Correct.
Line 81: Primary cost check passed. | Solution check: Correct.
Line 82: Primary cost check passed. | Solution check: Correct.
Line 83: Primary cost check passed. | Solution check: Correct.
Line 84: Primary cost check passed. | Solution check: Correct.
Line 85: Primary cost check passed. | Solution check: Correct.
Line 86: Primary cost check passed. | Solution check: Correct.
Line 87: Primary cost check passed. | Solution check: Correct.
Line 88: Primary cost check passed. | Solution check: Correct.
Line 89: Primary cost check passed. | Solution check: Correct.
Line 90: Primary cost check passed. | Solution check: Correct.
Line 91: Primary cost check passed. | Solution check: Correct.
Line 92: Primary cost check passed. | Solution check: Correct.
Line 93: Primary cost check passed. | Solution check: Correct.
Line 94: Primary cost check passed. | Solution check: Correct.
Line 95: Primary cost check passed. | Solution check: Correct.
Line 96: Primary cost check passed. | Solution check: Correct.
Line 97: Primary cost check passed. | Solution check: Correct.
Line 98: Primary cost check passed. | Solution check: Correct.
Line 99: Primary cost check passed. | Solution check: Correct.
Line 100: Primary cost check passed. | Solution check: Correct.
